The Logical Song
The Logical Song - Remastered 2010	Supertramp	Breakfast In America (Deluxe Edition)	spotify:track:6mHOcVtsHLMuesJkswc0GZ
The Logical Song	Pomplamoose	The Logical Song	spotify:track:4fjRccBf27YXtUid7IVv5D
The Logical Song	Sexton Blake	Plays the Hits!	spotify:track:0W4ESndw0gGto0itQXLydd
The Logical Song	Roger Hodgson	Classics Live	spotify:track:1xgTn29SjvkWcyXsmqcg6q
The Logical Song	The Philistines Jr.	The Logical Song	spotify:track:0fvWTRNfSXhlzITSbb0kiu
The Logical Song	Banda Do Sul	Electro Bossa Classics	spotify:track:4aB7VfyccG2lr9iTWNZZo4
The Logical Song	Pedro Javier González	Guitarra, Vol. 2	spotify:track:62MWLDlgFRz3IhRLQrW0km
The Logical Song	Dream Baby	'80s Lullabies	spotify:track:5u8MqeQPMPqYLwH8G8iYBJ
Logical Song	Pink Turtle	Pop in Swing	spotify:track:2JLt3fToknsdu6x0GjJmHw
Logical song	Vosakiz	Logical song	spotify:track:5w2P0VSVxdW9FFxObHqo4c
The Logical Song	Joe Crookston	Able Baker Charlie & Dog	spotify:track:6XektGy8YZ631r1eK83gHh
Logical Song	The Previews	Fool's Overture	spotify:track:4d6W1EeQdEHLMnkLt125Om
The Logical Song	The Holophonics	Maskarades. Vol. 15	spotify:track:6EDRcLFrLiBr8Y4mGkMzu1
Logical Song	33Tours	Stereoscope	spotify:track:4RzUMMg5kbkdF7QNxZC8iX
Logical Song	América de Vigo	Knights of Rock	spotify:track:5UdqCcHJqdRlpZJtkds0S0
Logical Song	Old Flames	No Guitars Allowed	spotify:track:2NUMjj5uUVGauQliK6yPer
The Logical Song	Gillan Cash	Live at Browns (Deluxe Edition)	spotify:track:0vAsvb3UuHChzCenfjYiiT
The Logical Song	Symphonic Rock Project	The Supertramp Songbook	spotify:track:6fWso0trecPeLe4azMEnBd
Logical Song	Pavic	Taste Some Liberty [European import]	spotify:track:0jGw0a9GqeS6SzbBdScxof
Logical Song	2Copy	Classics	spotify:track:5ZynuAP8wUfziFZWgOZOY2
The Logical Song	Train Ride	Timeless Rock Hits Forever (Top 25 World Rock Hits)	spotify:track:6QFOLtfDh0Gx3swdttjKvN
The Logical Song	Panagiotis Margaris	Rock of My Soul	spotify:track:7GvpMlqLeQuxJ17Xudbu4u
The Logical Song	Aitana López	Alone	spotify:track:1zqs6r5HsgAMiiEX06FlBQ
The Logical Song	Mindless Self Indulgence	How I Learned to Stop Giving a Shit and Love Mindless Self Indulgence	spotify:track:7KhjExyVynSAP6PK8LZkBm

Me Skotose Giati Tin Agapousa – Stratos Dionisiou
Me Skotose Giati Tin Agapousa	Stratos Dionisiou	I Megaliteres Epitihies Tou	spotify:track:6ZOZPDFM5elwISXg2c2Wpb
Spasmena Kommatia Tis Kardias	Antonis Remos	Spasmena Kommatia Tis Kardias	spotify:track:2CIOdprH35qLe14Mvi3qMQ
Olos Dikos Sou	Antonis Remos	Spasmena Kommatia Tis Kardias	spotify:track:4Fz3gyqJZRB05ycBQZLHsO
Otan Se Rotisane	Antonis Remos	Otan Se Rotisane	spotify:track:15V49wyGJiCYkVQ4ys1bUt
Mi mou Les Antio - Live	Kostas Makedonas	Christos Nikolopoulos: My Life the Songs - Live at Athens Concert Hall in Greece	spotify:track:3cIXjaVsTvMcN1EZmAfnUU

Nalyssa Green
Κοκτέιλ	Nalyssa Green	Κοκτέιλ	spotify:track:57rmsIZTYZ6XU2KNvFpXio

Karlheinz Stockhausen – Stockhausen: Kurzwellen
Kurzwellen, Work No. 25, System 1 (Realization by Ensemble C.L.S.I.): Introduction Shortwave Radio Quartet	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:5QXzQohzMuhAKGy93dTM6y
Kurzwellen, Work No. 25, System 1 (Realization by Ensemble C.L.S.I.): Introduction Instrumental Quartet	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:39BII99sebeH7lvLi0RWM8
Kurzwellen, Work No. 25, System 1: First W Radio Solo, Followed by Instrumental Quartet [4 Synchronous Events]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:1ymppGAf501AD9Ji430eu6
Kurzwellen, Work No. 25, System 1: Radio Followed by Instrumental Trio [5 Synchronous Events]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:1iAe6GYzyn8w50KE7rNOsh
Kurzwellen, Work No. 25, System 1: Instrumental Duo [2 Alternating Events]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:5KRQrqpXFkzDQG1Ogmr36q
Kurzwellen, Work No. 25, System 1: Radio Followed by Instrumental Duo [1 Synchronous Event]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:4hVnhmS5OwCNRqL2m86AEk
Kurzwellen, Work No. 25, System 1: Second W Radio Solo Followed by Instrumental quartet [2 Synchronous Events]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:6bHI3k5IylSBe9l5U6Mhuq
Kurzwellen, Work No. 25, System 1: Radio Followed by Instrumental Quartet [5 Synchronous Events]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:7MDSHv11n69AmCNHkYYFTw
Kurzwellen, Work No. 25, System 2: Beginning of System Event Followed by Instrumental Quartet [1 Alternating Event]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:1bPQ3YB24LuCys7mQdCDgl
Kurzwellen, Work No. 25, System 2: Instrumental Duo [1 Alternating Event]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:0ioP7g0ZemAXEsRobolPDS
Kurzwellen, Work No. 25, System 2: Radio Followed by Instrumental Duo [4 Synchronous Events]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:2QI2poIrO7gZHZzfW0rLzA
Kurzwellen, Work No. 25, System 2: Radio Followed by Instrumental Duo [5 Synchronous Events]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:7mGG13PtSfJOBYs7Kq4rxp
Kurzwellen, Work No. 25, System 2: Third W Radio Solo Followed by Instrumental quartet [3 Synchronous Events]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:1r45qyua6ANsRNWqn15fNv
Kurzwellen, Work No. 25, System 2: Radio Followed by Instrumental Duo [2 Synchronous Events]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:4i8J2nvPUWGlmvQ0wXfEHU
Kurzwellen, Work No. 25, System 2: Radio Followed by Instrumental Duo [3 Synchronous Events]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:4ihN74S4dByKyNKVcSt7nb
Kurzwellen, Work No. 25, System 3: Instrumental Trio [5 Alternating Events]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:3OCKZ7QnpMDCkXg6HF1dir
Kurzwellen, Work No. 25, System 3: Radio Followed by Instrumental Trio [1 Synchronous Event]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:3BqKDdi2elGRnMre33cwOe
Kurzwellen, Work No. 25, System 3: Radio Followed by Instrumental Trio [3 Synchronous Events]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:7DSwaZOZ48NPXJCQwwyXio
Kurzwellen, Work No. 25, System 3: Fourth W Radio Solo Followed by Instrumental Quartet [5 Synchronous Events]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:3H18DFFopFg8msTBSEBQZM
Kurzwellen, Work No. 25, System 3: Radio Followed by Instrumental Trio [2 Synchronous Events]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:2yyCCt171jFN52qsZdRG56
Kurzwellen, Work No. 25, System 3: Instrumental Duo [5 Alternating Events]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:0rvpgdo5EdtRwsNTwV3pq0
Kurzwellen, Work No. 25, System 3: Instrumental Trio [4 Alternating Events]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:1pzExbKRohaZ5o8fQpodHN
Kurzwellen, Work No. 25, System 4: Instrumental Quartet [4 Alternating Events]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:5kxiJehKwh3N9VH6OHuVE2
Kurzwellen, Work No. 25, System 4: Instrumental Duo [1 Alternating Event]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:4VsmRCNLUCV31tJaBl0vGV
Kurzwellen, Work No. 25, System 4: Instrumental Trio [3 Alternating Events]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:2lgiYunUtgY5KYsmOYxtOm
Kurzwellen, Work No. 25, System 4: Radio Followed by Instrumental Trio [6 Synchronous Events]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:14YljGjBLiMvqA8D8THbY0
Kurzwellen, Work No. 25, System 4: Instrumental Duo [2 Alternating Events]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:38YlwxpzVQlshCs3UoZCee
Kurzwellen, Work No. 25, System 4: Instrumental Quartet [3 Alternating Events]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:0ATBMuzcFXMW1oHZTYZnMh
Kurzwellen, Work No. 25, System 4: Instrumental Duo [4 Alternating Events]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:1mrKWDEtzFiyAAdqsEyhyD
Kurzwellen, Work No. 25, System 4: Radio Followed by Instrumental Duo [2 Synchronous Events]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:4x8iaLknRi2bVunDu2g8vT
Kurzwellen, Work No. 25, System 4: Instrumental & Radio Trio [1 Alternating Event]	Karlheinz Stockhausen, Ensemble C.L.S.I., Paul Méfano	Stockhausen: Kurzwellen	spotify:track:7n3yIQgcaye3vtUGcp3qiM

Stomp! – The Brothers Johnson
Stomp!	The Brothers Johnson	Light Up The Night	spotify:track:6VZdUa8JjaGF2LGsiRG9lC
Give Me the Night	George Benson	Give Me the Night	spotify:track:5gaUkg5JNk8c4mr2jnpX8H
Can't Fake the Feeling	Geraldine Hunt	Can't Fake the Feeling	spotify:track:3WtL910PEMIjJkkpM4xMKU
Can You Feel the Force	The Real Thing	Can You Feel the Force - All Their Biggest Hits!	spotify:track:3qHyAs8V2REO9HnooNWF71
Too Hot	Kool & The Gang	The Very Best Of Kool & The Gang (Reissue)	spotify:track:1S3RMWe23mYX6h3fevsgDq
Vertigo / Relight My Fire	Dan Hartman	Relight My Fire	spotify:track:2zQHhhk8MovP9H3LZMQvXa
Walk On By	D-Train	The Best of D Train	spotify:track:4tSWqJXwWNSzToz3DFtMU8
I.O.U. - (Remastered)	Freeez	Gonna Get You (Expanded Edition) [Remastered]	spotify:track:2WzsQlzQuaQnS7yRAtCMB8
I Got My Mind Made Up (You Can Get It Girl) - 12" Dance Mix	Instant Funk	Instant Funk	spotify:track:3dtmW81IL7oyBfzflog6c1
Shame - 12" Disco Mix	Evelyn "Champagne" King	The Essential Evelyn "Champagne" King	spotify:track:0QewO59ixTHz3bsa4mRHup

Go-thru--shoegaze
Climactic Phase No.3	Seefeel	Quique	spotify:track:1m1cOm0d6M5slDsfcFoMw9
Industrious	Seefeel	Quique	spotify:track:0Qr2qYjBbPEd3mwulFTqF4
Imperial	Seefeel	Quique	spotify:track:4zMJqWm0JxbFJRIZ0VVKmb
Plainsong	Seefeel	Quique	spotify:track:7bBJssMh23U5lkaHtuoeGb
Charlotte's Mouth	Seefeel	Quique	spotify:track:3lDZ7YSrmfemUho7hDzOdA
Through You	Seefeel	Quique	spotify:track:3YgHCiHCxXGTKzaq8CgKfG
Filter Dub	Seefeel	Quique	spotify:track:7v2JERuH6WDt2veWbRo1AY
Signals	Seefeel	Quique	spotify:track:0FTXHtgwMLJ3OUZ0VDolZp
Girl On A Motorbike	Swervedriver	Mezcal Head	spotify:track:57syaAPsUhU4Kyte6IBaM8
Duress	Swervedriver	Mezcal Head	spotify:track:2ZRZS8CadUNoQSs9k2DdWH
You Find It Everywhere	Swervedriver	Mezcal Head	spotify:track:6FE62Fj06ac3DwiUmD6hKM
Never Lose That Feeling/Never Learn	Swervedriver	Mezcal Head	spotify:track:6V0aCjUMxvBPGJkesZjxvj
He Holds Her, He Needs Her	Kitchens Of Distinction	Strange Free World	spotify:track:1Gwur0PBHXUppScrd6wwfZ
Polariods	Kitchens Of Distinction	Strange Free World	spotify:track:3icwY4A4PFI1CNxvTdZ4mG
Gorgeous Love	Kitchens Of Distinction	Strange Free World	spotify:track:5HLwCy2SkQEiBUNYQO0HjC
Aspray	Kitchens Of Distinction	Strange Free World	spotify:track:5qP6nBNEslzvEQp1TBPVFD
Drive That Fast	Kitchens Of Distinction	Strange Free World	spotify:track:14lrMBmpivkvPXSnKvfkJ3
Within the Daze of Passion	Kitchens Of Distinction	Strange Free World	spotify:track:59da8nqpsASuLffE5tcpi1
Under the Sky, Inside the Sea	Kitchens Of Distinction	Strange Free World	spotify:track:0tpRKwdiw3K12EL7ZysDTv
Desire Lines	Lush	Split	spotify:track:63JP68VirmCXtWRoMTX8Xi
The Invisible Man	Lush	Split	spotify:track:0WUnQPjtGVVXkYegXc4dxV
Undertow	Lush	Split	spotify:track:0DQcCxwiT5jQ9cFl3lrhFv
Never-Never	Lush	Split	spotify:track:4Mkavihor6pZV0m1x85gnu
Lit Up	Lush	Split	spotify:track:0D3C2gOk2qSMWGJLSobQpK
Starlust	Lush	Split	spotify:track:6jTKbWPD3NznzQyHv10cLK
When I Die	Lush	Split	spotify:track:6KgSyHivrEOBpvt9DjeMhs
When Will You Come Home	Galaxie 500	On Fire	spotify:track:2m4pMnVi3e9HuSwSci6dg8
Decomposing Trees	Galaxie 500	On Fire	spotify:track:6XzwamNZckFVqq1zw3DHT4
Another Day	Galaxie 500	On Fire	spotify:track:1z4gr7jbB0WneRxX2teFiA
Leave the Planet	Galaxie 500	On Fire	spotify:track:7gTJKeer3CrhBXMfh6ZO0y
Plastic Bird	Galaxie 500	On Fire	spotify:track:1at3n20c5mRAFfNKD1Ru7j
Isn't It A Pity	Galaxie 500	On Fire	spotify:track:4JyGEgUGVkiszOv2caAYlm
Victory Garden	Galaxie 500	On Fire	spotify:track:3HWfEc16Y511NR8yRwVSh6
Ceremony	Galaxie 500	On Fire	spotify:track:2x3QOPnAfn57SFG8EOafDm
Cold Night	Galaxie 500	On Fire	spotify:track:77Thdu78QWOK6OAnX5fSlK
Sweetness and Light	Lush	Gala	spotify:track:577LINEVunl9HDxC4vxuAx
Sunbathing	Lush	Gala	spotify:track:4tsteRyfqzTrLMiFDlIJhA
Breeze	Lush	Gala	spotify:track:3bzPeNnkDTzXFSTxrSHpVV
De-Luxe	Lush	Gala	spotify:track:5aUCwet7abFYrClJNtZ2hO
Leaves Me Cold	Lush	Gala	spotify:track:55SuzmHZVSBOiGSHXWL3QG
Downer	Lush	Gala	spotify:track:2ezUo1LTTov8ql7gpaL5dF
Thoughtforms - 2nd Version	Lush	Gala	spotify:track:7ARIbfiiJA4nyuXyXsGxJL
Baby Talk	Lush	Gala	spotify:track:2Xp13rqih9w9hBceyRHRpc
Thoughtforms	Lush	Gala	spotify:track:1wWU1F0Lhu9x2geX2h4L0x
Scarlet	Lush	Gala	spotify:track:7tuRY10SatGBp3wRu6jusU
Bitter	Lush	Gala	spotify:track:4taZYuVqS3UcjVaJwoT5kD
Second Sight	Lush	Gala	spotify:track:4l9fMz6MrDCVLFucfo963d
Etheriel	Lush	Gala	spotify:track:0TPwU1vgNoTaHo1OMH0oc5
Hey Hey Helen	Lush	Gala	spotify:track:6K7JkDuQgX8S2XD5qScYRQ
Scarlet - Long Version	Lush	Gala	spotify:track:6fb7EkOyYHa7KvqUqkiZEB
Stray	Lush	Spooky	spotify:track:1eDB2CzHBBAAH1neiqoxiQ
Nothing Natural	Lush	Spooky	spotify:track:1KSxuruk0aplDMmnbTpsw9
Tiny Smiles	Lush	Spooky	spotify:track:2Id2UKDFAwy73LcYLcY3oh
Covert	Lush	Spooky	spotify:track:0DTlTVAJuz6se3C5jB4Y9Y
Ocean	Lush	Spooky	spotify:track:6vfLGN7ZmkSpuULF5rT4Z6
For Love	Lush	Spooky	spotify:track:3o2T5viqXW9uPGmgU0VdB7
Superblast!	Lush	Spooky	spotify:track:1NIhKTlzX3JaUTQvGIAr7I
Untogether	Lush	Spooky	spotify:track:29Y1LODDL7AEVWpzqkQKxk
Fantasy	Lush	Spooky	spotify:track:3MdChFeeKT4HXX0HNlWKvy
Take	Lush	Spooky	spotify:track:1KpUkjU2tKU7fG2CTe1mnP
Laura	Lush	Spooky	spotify:track:65swp1NvJlTpVEaiI1wcL5
Monochrome	Lush	Spooky	spotify:track:51T9zCeXS7Mk6kUjrgGBzW
Curse words	A Sunny Day In Glasgow	Ashes Grammar	spotify:track:5UR0MQYHSkeZAJajaOCYAP
Close chorus	A Sunny Day In Glasgow	Ashes Grammar	spotify:track:6EbRp0XV1fxtjOxrvS9HPQ
Shy	A Sunny Day In Glasgow	Ashes Grammar	spotify:track:7CEmvOrMOUXFUzYhktGCsH
Lights	A Sunny Day In Glasgow	Ashes Grammar	spotify:track:0HWrwYGCbP5HMrXa4alNDQ
Passionate introverts (Dinosaurs)	A Sunny Day In Glasgow	Ashes Grammar	spotify:track:3fIw0YSt6Pv5zJRlaZxCNJ
West Philly vocoder	A Sunny Day In Glasgow	Ashes Grammar	spotify:track:5rxGZqz4p33ykce03NgtBI
Evil, with evil, against evil	A Sunny Day In Glasgow	Ashes Grammar	spotify:track:240oIJsEx2qsfUVAFwnqxK
The white witch	A Sunny Day In Glasgow	Ashes Grammar	spotify:track:3GsD0oUarKc8XJZ3zf9ees
Nitetime rainbows	A Sunny Day In Glasgow	Ashes Grammar	spotify:track:0JwRzQKerAANoU6ZrgmJWk
Canalfish	A Sunny Day In Glasgow	Ashes Grammar	spotify:track:0eNlAJwlwuBYO2eieMWLVv
Loudly	A Sunny Day In Glasgow	Ashes Grammar	spotify:track:5aKjnuMmYaTc3JLd5VNcdp
Blood white	A Sunny Day In Glasgow	Ashes Grammar	spotify:track:03v3pOI5YRg3UHhWYFTEFD
Ashes grammar	A Sunny Day In Glasgow	Ashes Grammar	spotify:track:6DsP2ZFk1P5A03qEqJWytH
Ashes maths	A Sunny Day In Glasgow	Ashes Grammar	spotify:track:5NoiZDNiCs6DgHIafpMLOh
Miss my friends	A Sunny Day In Glasgow	Ashes Grammar	spotify:track:1Buhek8qgsSG61hiHaffzj
Starting at a disadvantage	A Sunny Day In Glasgow	Ashes Grammar	spotify:track:0dPt8UGsGx8n4jTbpiq7mB
Life's great	A Sunny Day In Glasgow	Ashes Grammar	spotify:track:1EYkcm7rGvC9owADCsve6d
Headphone space	A Sunny Day In Glasgow	Ashes Grammar	spotify:track:46t9Vphm7FrHNKoxnxohzj
Sci-Flyer	Swervedriver	Raise	spotify:track:1ORg32aLOabOcCdVswP2xt
Pile-Up	Swervedriver	Raise	spotify:track:5s8uFKUi6ajvH52V5Aytyp
Son Of Mustang Ford	Swervedriver	Raise	spotify:track:3wgN7w9we5a5fJt1bg0H3a
Deep Seat	Swervedriver	Raise	spotify:track:5H2kNIrzEsKfofmrt1B3SU
Rave Down	Swervedriver	Raise	spotify:track:11MgD2LnjAig9KtK0ePJtj
Sunset	Swervedriver	Raise	spotify:track:6Tv58KVeihCIXI4E4XIrpl
Feel So Real	Swervedriver	Raise	spotify:track:02iVuWRDXilF6nc2yb1skL
Sandblasted	Swervedriver	Raise	spotify:track:1AsHoIEYuaTm8F3X0MMwU0
Lead Me Where You Dare...	Swervedriver	Raise	spotify:track:61OVzZbWLkvsaLBKkoMtFu
Just Like Honey	The Jesus and Mary Chain	Psychocandy	spotify:track:4E6YM4V7Kz6zpbiNsliwEl
The Living End	The Jesus and Mary Chain	Psychocandy	spotify:track:3xg4YGdLrf7lfZv0GBKbHf
Taste the Floor	The Jesus and Mary Chain	Psychocandy	spotify:track:7DwSIfvDNZo4RslGgQNzmw
The Hardest Walk	The Jesus and Mary Chain	Psychocandy	spotify:track:70kEZ0IwNmLf0vxQ7EzGCg
Cut Dead	The Jesus and Mary Chain	Psychocandy	spotify:track:71ipVnuH2x4QCIjfvNYQCB
In a Hole	The Jesus and Mary Chain	Psychocandy	spotify:track:30CB7otbptPUIRCB68nW1f
Taste of Cindy	The Jesus and Mary Chain	Psychocandy	spotify:track:2CFbsphaLiAoayu8nMfCwf
Never Understand	The Jesus and Mary Chain	Psychocandy	spotify:track:3tArKAiS8FGNpU9q3H2Iba
Inside Me	The Jesus and Mary Chain	Psychocandy	spotify:track:0G4vmlGLm7Jw1Y5Vu9kN4e
Sowing Seeds	The Jesus and Mary Chain	Psychocandy	spotify:track:3Xq90u65Zjd8U5oZBvhCsx
My Little Underground	The Jesus and Mary Chain	Psychocandy	spotify:track:4wTHhf4uK520pPZymrHa2G
You Trip Me Up	The Jesus and Mary Chain	Psychocandy	spotify:track:2FODdpnPyXL6lieLuH6JKs
Something's Wrong	The Jesus and Mary Chain	Psychocandy	spotify:track:2PYEXCDGOg4xhWnSVdObti
It's So Hard	The Jesus and Mary Chain	Psychocandy	spotify:track:1f5kATU6mFl7xicJ6Pogro
Untitled	Swirlies	Blonder Tongue Audio Baton	spotify:track:0VsjkAEkZvaUoDt0PAzJxC
Bell	Swirlies	Blonder Tongue Audio Baton	spotify:track:2bUin4VC1LNdF8Bjjxb8Uc
Vigilant Always	Swirlies	Blonder Tongue Audio Baton	spotify:track:0XnD3JH2YkWRAZ3cKEVY0s
His Love Just Washed Away	Swirlies	Blonder Tongue Audio Baton	spotify:track:3q0c9gm7FORbHbhRtnXQvL
His Life Of Academic Freedom	Swirlies	Blonder Tongue Audio Baton	spotify:track:6F8b45lXCoVey4yRFKD6kH
Pancake	Swirlies	Blonder Tongue Audio Baton	spotify:track:00YCRrySf0dJ6nRCKYSAkA
Jeremy Parker	Swirlies	Blonder Tongue Audio Baton	spotify:track:0pVgFjjojISSczzmj66FTA
Park The Car By The Side Of The Road	Swirlies	Blonder Tongue Audio Baton	spotify:track:346misamqyQbR2HUSYRrk6
Tree Chopped Down	Swirlies	Blonder Tongue Audio Baton	spotify:track:43Cuq1oySxtT7CKymYxpMz
Wrong Tube	Swirlies	Blonder Tongue Audio Baton	spotify:track:5DWaUCipAPsEQEYNyQF2H1
Wait Forever	Swirlies	Blonder Tongue Audio Baton	spotify:track:0eptKHse0Nyw7RTb1kKHSn
Way the World Is - Remastered	Pale Saints	The Comforts of Madness (30th Anniversary Reissue)	spotify:track:6YXnCHAUxqUlkaRfB4hKb5
You Tear the World in Two - Remastered	Pale Saints	The Comforts of Madness (30th Anniversary Reissue)	spotify:track:25Hy4OvXxAfcxGZ0aagkeb
Sea of Sound - Remastered	Pale Saints	The Comforts of Madness (30th Anniversary Reissue)	spotify:track:55xAdhjJzxTWJZLybqPEIw
True Coming Dream - Remastered	Pale Saints	The Comforts of Madness (30th Anniversary Reissue)	spotify:track:3cmtzxOK0OCbSsda6Tz30k
Little Hammer - Remastered	Pale Saints	The Comforts of Madness (30th Anniversary Reissue)	spotify:track:66cRMGVk9GnkCtd1Ba06LY
Insubstantial - Remastered	Pale Saints	The Comforts of Madness (30th Anniversary Reissue)	spotify:track:3VPgK80s1SnQu6fhWOFcvn
A Deep Sleep for Steven - Remastered	Pale Saints	The Comforts of Madness (30th Anniversary Reissue)	spotify:track:5AfBdhWLcZnn03vG30T1Ib
Language of Flowers - Remastered	Pale Saints	The Comforts of Madness (30th Anniversary Reissue)	spotify:track:74LSFxjTWhNjePKRCiTuqg
Fell from the Sun - Remastered	Pale Saints	The Comforts of Madness (30th Anniversary Reissue)	spotify:track:1mtg35wFPVBCR9UFZnIdBq
Sight of You - Remastered	Pale Saints	The Comforts of Madness (30th Anniversary Reissue)	spotify:track:6Ka1pHccAVExsJpoZed3Zb
Time Thief - Remastered	Pale Saints	The Comforts of Madness (30th Anniversary Reissue)	spotify:track:3IIZXG5tdx2U1oaoduyW1t
Birds	M83	Dead Cities, Red Seas & Lost Ghosts	spotify:track:4qrv4KMBrGVcaN5NU1TSlF
Unrecorded	M83	Dead Cities, Red Seas & Lost Ghosts	spotify:track:76nhugKSN7SY54MA1HCm80
Run Into Flowers	M83	Dead Cities, Red Seas & Lost Ghosts	spotify:track:5Y8sPOwWupGEGM7ifBDR7F
In church	M83	Dead Cities, Red Seas & Lost Ghosts	spotify:track:6ppk0JDGDaRnXHqkZM16Kb
America	M83	Dead Cities, Red Seas & Lost Ghosts	spotify:track:0gSOZ2CH1PJXPraaS3NGZo
On a white lake, near a green mountain	M83	Dead Cities, Red Seas & Lost Ghosts	spotify:track:1tDLEdfntclNJREBZ5STmi
Noise	M83	Dead Cities, Red Seas & Lost Ghosts	spotify:track:73khodcc65mVNpUSJNovnR
Be wild	M83	Dead Cities, Red Seas & Lost Ghosts	spotify:track:0hH2MFhI2WZsdmrhzWe8u2
Cyborg	M83	Dead Cities, Red Seas & Lost Ghosts	spotify:track:2zHLZdGaOnk7A6CdZaVA1R
0078h	M83	Dead Cities, Red Seas & Lost Ghosts	spotify:track:4oBR1uJMuM2PDPRc1VZRi3
Gone	M83	Dead Cities, Red Seas & Lost Ghosts	spotify:track:4PzbfknNNtP82NyAz75ixa
Beauties can die	M83	Dead Cities, Red Seas & Lost Ghosts	spotify:track:3PyDdkze6ZoVylcGqJPM32
